px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	v_true	yaw_angle_true	yaw_rate_true	vx_true	vy_true	NIS
135.003	15.0602	2.72669	0.178084	-0.0685782	135.127	14.6575	135.066	15.2513	2.72897	0.322067	0	2.58865	0.863795	0	0.522174
137.564	16.1718	2.77327	0.44186	0.132284	137.561	16.2147	137.639	16.1592	2.79367	0.356294	0	2.61821	0.974442	1.47713	0
137.606	16.1698	2.9549	0.430071	0.117556	137.653	16.5145	137.639	16.1592	2.79367	0.356294	0	2.61821	0.974442	0	0.400154
140.321	17.0348	2.87278	0.323256	-0.0203777	140.331	17.008	140.242	17.1733	2.85044	0.386712	0	2.63994	1.07503	0.714916	0
140.333	17.0375	2.91901	0.320677	-0.0226871	140.305	17.5379	140.242	17.1733	2.85044	0.386712	0	2.63994	1.07503	0	0.0459286
142.905	17.9892	2.77618	0.348276	0.00895042	142.888	17.9918	142.868	18.2829	2.89871	0.413016	0	2.65497	1.16346	0.134031	0
142.874	17.9848	2.84853	0.346695	0.00426254	142.626	18.1458	142.868	18.2829	2.89871	0.413016	0	2.65497	1.16346	0	0.761867
145.401	19.1502	2.82208	0.449455	0.0657047	145.392	19.1617	145.51	19.4754	2.938	0.434943	0	2.66445	1.23795	0.149225	0
145.488	19.1596	3.00545	0.435356	0.0526244	145.789	19.3785	145.51	19.4754	2.938	0.434943	0	2.66445	1.23795	0	1.66164
148.238	20.4739	3.12594	0.462521	0.0356647	148.251	20.4754	148.163	20.7364	2.96792	0.452275	0	2.66951	1.29702	0.0769442	0
148.218	20.4729	3.00618	0.47166	0.0461566	148.146	20.9376	148.163	20.7364	2.96792	0.452275	0	2.66951	1.29702	0	0.151818
150.695	22.1029	3.00492	0.621968	0.111993	150.686	22.1142	150.825	22.0502	2.98817	0.464838	0	2.67111	1.33953	0.167198	0
150.707	22.0982	3.18892	0.602495	0.0869571	150.649	21.8148	150.825	22.0502	2.98817	0.464838	0	2.67111	1.33953	0	0.535147
153.409	23.5147	3.07409	0.483299	-0.0432989	153.422	23.4909	153.491	23.3999	2.99854	0.472507	0	2.66999	1.3647	0.667539	0
153.396	23.5114	3.01335	0.487799	-0.0383451	153.466	22.9115	153.491	23.3999	2.99854	0.472507	0	2.66999	1.3647	0	0.0569844
156.046	24.8111	3.00508	0.428661	-0.051598	156.047	24.8084	156.159	24.7682	2.99894	0.475204	0	2.66666	1.37208	0.00682759	0
156.028	24.8085	2.85685	0.43682	-0.040879	156.009	25.0678	156.159	24.7682	2.99894	0.475204	0	2.66666	1.37208	0	0.225297
158.871	26.0227	3.19662	0.373313	-0.0569056	158.905	26.0308	158.827	26.1372	2.98936	0.472904	0	2.66127	1.36157	0.510883	0
158.891	26.0262	3.14778	0.373882	-0.0542194	159.014	26.1903	158.827	26.1372	2.98936	0.472904	0	2.66127	1.36157	0	0.32706
161.446	27.4132	2.89439	0.492668	0.0545063	161.412	27.4256	161.493	27.4891	2.96989	0.465629	0	2.65371	1.33344	0.771087	0
161.471	27.4183	2.90115	0.492399	0.0553373	161.529	27.8454	161.493	27.4891	2.96989	0.465629	0	2.65371	1.33344	0	0.22915
163.658	28.7768	2.57772	0.584727	0.0820084	163.625	28.7683	164.155	28.8064	2.94073	0.453452	0	2.64354	1.28825	0.487019	0
163.783	28.7959	2.89804	0.552628	0.051623	164.116	29.315	164.155	28.8064	2.94073	0.453452	0	2.64354	1.28825	0	3.16292
166.762	30.2051	3.4087	0.400507	-0.080719	166.828	30.2062	166.809	30.0721	2.90217	0.436494	0	2.63006	1.22694	1.96723	0
166.707	30.1902	3.07171	0.419786	-0.0592986	166.748	29.7121	166.809	30.0721	2.90217	0.436494	0	2.63006	1.22694	0	1.08402
169.137	31.3757	2.70213	0.428176	-0.0159341	169.097	31.3717	169.452	31.2706	2.8546	0.414925	0	2.61238	1.15075	0.691227	0
169.165	31.3796	2.82162	0.422046	-0.0231095	169.345	30.7063	169.452	31.2706	2.8546	0.414925	0	2.61238	1.15075	0	0.183724
172.127	32.3443	3.22039	0.262636	-0.11093	172.175	32.3404	172.079	32.3873	2.79849	0.388961	0	2.58945	1.06126	1.03797	0
172.111	32.3372	2.98021	0.265417	-0.106854	172.135	32.6666	172.079	32.3873	2.79849	0.388961	0	2.58945	1.06126	0	0.655866
